OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,comm,ind,BUFF_DIST,ORIG_FID,OBJECTID_1,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,TYPE,NAME,METHOD,updated,draw,GlobalID,last_edite,Shape_Length,Shape_Area
1,0,1,0,33.791660000000000,-84.430030000000002,0,1,400.000000000000000,0,1,,,,,,,,,,,,,,,,,,,,0.024946863994472,0.000048917591706
2,0,2,1,33.750940000000000,-84.393029999999996,1,0,400.000000000000000,1,2,,,,,,,,,,,,,,,,,,,,0.024940242762429,0.000048894779274
3,1,3,2,33.740139999999997,-84.313890000000001,0,0,400.000000000000000,2,3,Mohammed Schools of Atlanta,20,735 Fayetteville Road SE, ,Atlanta,Georgia,30316,404,378-4219, ,Principal,13089,Private School,DeKalb,GPS,2012-01-11T00:00:00.000Z, ,{53EE6EB2-0F8C-4302-B861-EAB063D50975},2016-02-16T18:42:51.000Z,0.024938489051758,0.000048888736630
4,0,4,4,33.817670000000000,-84.366960000000006,0,1,400.000000000000000,3,4,,,,,,,,,,,,,,,,,,,,0.024951100273377,0.000048932185666
5,0,5,5,33.771239999999999,-84.388840000000002,1,0,400.000000000000000,4,5,,,,,,,,,,,,,,,,,,,,0.024943541276879,0.000048906143781
6,0,6,6,33.757120000000000,-84.384240000000005,1,0,400.000000000000000,5,6,,,,,,,,,,,,,,,,,,,,0.024941246792372,0.000048898238802
7,0,7,9,33.811000000000000,-84.412800000000004,0,0,400.000000000000000,6,7,,,,,,,,,,,,,,,,,,,,0.024950013592200,0.000048928442164
8,1,8,10,33.652870000000000,-84.397620000000003,0,1,400.000000000000000,7,8,St. John the Evangelist Catholic School,20,240 Arnold Street, ,Hapeville,Georgia,30354,404,767-4312, ,Principal,13121,Private School,Fulton,GPS,2012-01-24T00:00:00.000Z, ,{6DFA3C8E-D626-4B70-92CC-0AE15F63D002},2016-02-10T18:53:24.000Z,0.024924354309476,0.000048840027169
9,0,9,11,33.740270000000002,-84.349239999999995,0,0,400.000000000000000,8,9,,,,,,,,,,,,,,,,,,,,0.024938510210558,0.000048888809464
10,1,10,13,33.781770000000002,-84.368679999999998,0,1,400.000000000000000,9,10,Henry W. Grady High School,13,929 Charles Allen Drive NE, ,Atlanta,Georgia,30309,404,802-3000,Betsy Bockman,Principal,13121,"High School, Public",Fulton,GPS,2017-06-28T00:00:00.000Z, ,{7E722A46-534E-40E2-8A5A-D729EFE968B0},2017-06-28T19:13:45.000Z,0.024945254567517,0.000048912046989
11,0,11,14,33.655380000000001,-84.512929999999997,0,0,400.000000000000000,10,11,,,,,,,,,,,,,,,,,,,,0.024924760004097,0.000048841425383
12,1,12,15,33.746899999999997,-84.383840000000006,0,0,400.000000000000000,11,12,Wesley International Academy,30,211 Memorial Drive SE, ,Atlanta,Georgia,30312,678,904-9137,Jason Marshall,Executive Director,13121,Elementary School,Fulton,Geocode,2017-06-28T00:00:00.000Z, ,{F58710A2-E983-494B-AD71-525DEE0E3E0D},2017-06-28T19:17:36.000Z,0.024939586398649,0.000048892517432
13,0,13,20,33.781509999999997,-84.389169999999993,0,0,400.000000000000000,12,13,,,,,,,,,,,,,,,,,,,,0.024945211970511,0.000048911899763
14,0,14,24,33.755560000000003,-84.384270000000001,1,0,400.000000000000000,13,14,,,,,,,,,,,,,,,,,,,,0.024940993270607,0.000048897365274
15,0,15,26,33.686369999999997,-84.491249999999994,0,0,400.000000000000000,14,15,,,,,,,,,,,,,,,,,,,,0.024929772706308,0.000048858700904
16,0,16,27,33.752070000000003,-84.392139999999998,1,0,400.000000000000000,15,16,,,,,,,,,,,,,,,,,,,,0.024940426374162,0.000048895411975
17,2,17,29,33.747320000000002,-84.314509999999999,0,0,400.000000000000000,16,17,Charles R. Drew Charter School,30,301 East Lake Boulevard SE, ,Atlanta,Georgia,30317,404,687-0001,Monishae O'Neill,Principal,13089,Elementary School,DeKalb,Photo,2017-06-28T00:00:00.000Z, ,{485BC954-88F1-446E-BB19-451F96D90236},2017-06-28T18:44:52.000Z,0.024939654560452,0.000048892752227
18,1,18,31,33.769100000000002,-84.352530000000002,0,0,400.000000000000000,17,18,Light of the World Christian Academy,0,542 Moreland Ave SE, ,Atlanta,Georgia,30307,404,635-1199, , , ,Private School,FULTON, , , ,{EFA939E8-E86C-42DC-905D-F2CAB34CAF73},2016-02-23T15:24:17.000Z,0.024943193836128,0.000048904946999
19,0,19,32,33.772779999999997,-84.425079999999994,0,1,400.000000000000000,18,19,,,,,,,,,,,,,,,,,,,,0.024943792102075,0.000048907008083
20,0,20,33,33.771090000000001,-84.359449999999995,0,0,400.000000000000000,19,20,,,,,,,,,,,,,,,,,,,,0.024943517564352,0.000048906062429
21,2,21,35,33.755490000000002,-84.374380000000002,0,0,400.000000000000000,20,21,Hope-Hill Elementary School,30,112 Boulevard NE, ,Atlanta,Georgia,30312,404,802-7450,Maureen T. Wheeler,Principal,13121,Elementary School,Fulton,Geocode,2017-06-29T00:00:00.000Z, ,{CFF5A6F4-BF68-4F52-B1FF-2265B09535E5},2017-06-29T14:54:26.000Z,0.024940981531839,0.000048897324396
22,0,22,41,33.753639999999997,-84.472939999999994,0,1,400.000000000000000,21,22,,,,,,,,,,,,,,,,,,,,0.024940681248350,0.000048896289950
23,0,23,42,33.746279999999999,-84.406570000000002,1,0,400.000000000000000,22,23,,,,,,,,,,,,,,,,,,,,0.024939485795387,0.000048892171124
24,0,24,43,33.730400000000003,-84.387950000000004,0,0,400.000000000000000,23,24,,,,,,,,,,,,,,,,,,,,0.024936908334524,0.000048883290017
25,0,25,44,33.799010000000003,-84.370490000000004,0,0,400.000000000000000,24,25,,,,,,,,,,,,,,,,,,,,0.024948060599876,0.000048921713966
26,0,26,45,33.764859999999999,-84.332999999999998,0,0,400.000000000000000,25,26,,,,,,,,,,,,,,,,,,,,0.024942504533811,0.000048902572283
27,0,27,46,33.781509999999997,-84.397729999999996,0,0,400.000000000000000,26,27,,,,,,,,,,,,,,,,,,,,0.024945211918308,0.000048911899540
28,0,28,47,33.753120000000003,-84.387640000000005,1,0,400.000000000000000,27,28,,,,,,,,,,,,,,,,,,,,0.024940596568642,0.000048895998001
29,0,29,49,33.754440000000002,-84.389840000000007,1,0,400.000000000000000,28,29,,,,,,,,,,,,,,,,,,,,0.024940811371545,0.000048896738372
30,0,30,50,33.736840000000001,-84.387870000000007,0,0,400.000000000000000,29,30,,,,,,,,,,,,,,,,,,,,0.024937953454829,0.000048886891318
31,0,31,51,33.764270000000003,-84.397260000000003,1,1,400.000000000000000,30,31,,,,,,,,,,,,,,,,,,,,0.024942408838081,0.000048902242375
32,0,32,52,33.764960000000002,-84.349209999999999,0,0,400.000000000000000,31,32,,,,,,,,,,,,,,,,,,,,0.024942520892653,0.000048902628489
33,0,33,53,33.764659999999999,-84.390349999999998,1,0,400.000000000000000,32,33,,,,,,,,,,,,,,,,,,,,0.024942472258399,0.000048902460680
34,0,34,54,33.695580000000000,-84.527860000000004,0,0,400.000000000000000,33,34,,,,,,,,,,,,,,,,,,,,0.024931263707942,0.000048863839152
35,0,35,56,33.759670000000000,-84.384200000000007,1,0,400.000000000000000,34,35,,,,,,,,,,,,,,,,,,,,0.024941660978513,0.000048899665634
