FID,Row_Labels,Average_of,Average__1,comm,ind
0,0,33.791660000000000,-84.430030000000002,0,1
1,1,33.750940000000000,-84.393029999999996,1,0
2,2,33.740139999999997,-84.313890000000001,0,0
3,4,33.817670000000000,-84.366960000000006,0,1
4,5,33.771239999999999,-84.388840000000002,1,0
5,6,33.757120000000000,-84.384240000000005,1,0
6,9,33.811000000000000,-84.412800000000004,0,0
7,10,33.652870000000000,-84.397620000000003,0,1
8,11,33.740270000000002,-84.349239999999995,0,0
9,13,33.781770000000002,-84.368679999999998,0,1
10,14,33.655380000000001,-84.512929999999997,0,0
11,15,33.746899999999997,-84.383840000000006,0,0
12,20,33.781509999999997,-84.389169999999993,0,0
13,24,33.755560000000003,-84.384270000000001,1,0
14,26,33.686369999999997,-84.491249999999994,0,0
15,27,33.752070000000003,-84.392139999999998,1,0
16,29,33.747320000000002,-84.314509999999999,0,0
17,31,33.769100000000002,-84.352530000000002,0,0
18,32,33.772779999999997,-84.425079999999994,0,1
19,33,33.771090000000001,-84.359449999999995,0,0
20,35,33.755490000000002,-84.374380000000002,0,0
21,41,33.753639999999997,-84.472939999999994,0,1
22,42,33.746279999999999,-84.406570000000002,1,0
23,43,33.730400000000003,-84.387950000000004,0,0
24,44,33.799010000000003,-84.370490000000004,0,0
25,45,33.764859999999999,-84.332999999999998,0,0
26,46,33.781509999999997,-84.397729999999996,0,0
27,47,33.753120000000003,-84.387640000000005,1,0
28,49,33.754440000000002,-84.389840000000007,1,0
29,50,33.736840000000001,-84.387870000000007,0,0
30,51,33.764270000000003,-84.397260000000003,1,1
31,52,33.764960000000002,-84.349209999999999,0,0
32,53,33.764659999999999,-84.390349999999998,1,0
33,54,33.695580000000000,-84.527860000000004,0,0
34,56,33.759670000000000,-84.384200000000007,1,0
35,57,33.787779999999998,-84.411829999999995,0,1
36,58,33.747430000000001,-84.331819999999993,0,0
37,59,33.762929999999997,-84.319820000000007,0,1
38,60,33.786230000000003,-84.407290000000003,0,1
39,61,33.760970000000000,-84.386039999999994,1,0
40,63,33.750169999999997,-84.376679999999993,0,1
41,66,33.696010000000001,-84.486230000000006,0,0
42,70,33.747390000000003,-84.326300000000003,0,0
43,71,33.786639999999998,-84.391949999999994,1,1
44,72,33.762709999999998,-84.352699999999999,0,0
45,73,33.779539999999997,-84.387280000000004,0,0
46,75,33.747280000000003,-84.309749999999994,0,0
47,76,33.760280000000002,-84.348860000000002,1,0
48,77,33.775880000000001,-84.407010000000000,0,1
49,78,33.773890000000002,-84.391990000000007,0,0
50,81,33.788519999999998,-84.428269999999998,0,1
51,83,33.754399999999997,-84.379419999999996,1,0
52,85,33.764600000000002,-84.396150000000006,1,0
53,89,33.773809999999997,-84.402780000000007,0,1
54,92,33.764000000000003,-84.388999999999996,1,0
55,93,33.795879999999997,-84.367940000000004,0,0
56,94,33.757140000000000,-84.386099999999999,1,0
57,95,33.776899999999998,-84.392099999999999,0,0
58,97,33.791020000000003,-84.355390000000000,0,0
59,98,33.753880000000002,-84.388999999999996,1,0
60,101,33.771279999999997,-84.381889999999999,1,0
61,102,33.736829999999998,-84.393479999999997,0,0
62,103,33.722020000000001,-84.393370000000004,0,1
63,105,33.740670000000001,-84.417710000000000,1,0
64,106,33.688049999999997,-84.489789999999999,0,0
65,107,33.762259999999998,-84.389020000000002,1,0
66,108,33.788449999999997,-84.383870000000002,0,0
67,110,33.690629999999999,-84.511460000000000,0,0
68,112,33.825609999999998,-84.352810000000005,0,0
69,113,33.701529999999998,-84.429150000000007,0,1
70,114,33.786580000000001,-84.383150000000001,0,0
71,115,33.755560000000003,-84.386120000000005,1,0
72,116,33.781559999999999,-84.407489999999996,0,1
73,117,33.786189999999998,-84.398740000000004,1,0
74,118,33.754489999999997,-84.384309999999999,1,0
75,119,33.781529999999997,-84.390590000000003,1,0
76,121,33.754449999999999,-84.386489999999995,1,0
77,122,33.828640000000000,-84.387460000000004,0,0
78,124,33.773600000000002,-84.363709999999998,0,1
79,126,33.753290000000000,-84.389470000000003,1,0
80,127,33.775160000000000,-84.341549999999998,0,0
81,128,33.745269999999998,-84.309740000000005,0,0
