OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,Comm,BUFF_DIST,ORIG_FID,OBJECTID_1,Match_type,Ref_ID,ID1,Id,SchoolId,Name,Address,City,Zipcode,Contact,PhoneNumbe,YearBuilt,NumStories,Cost,NumStudent,BackupPowe,ShelterCap,Latitude,Longitude,Comment,X,Y,NumStude_1,CampusHous,NumStude_2,URL,Address201,Shape_Length,Shape_Area
1,0,1,0,42.291739999999997,-71.077179999999998,0,200.000000000000000,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345549029654,0.000013708494243
2,0,2,3,42.343840000000000,-71.061179999999993,0,200.000000000000000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352219462563,0.000013719681575
3,0,3,10,42.346960000000003,-71.092399999999998,0,200.000000000000000,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352619419742,0.000013720352288
4,0,4,14,42.333340000000000,-71.063360000000003,0,200.000000000000000,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350873507121,0.000013717424298
5,0,5,15,42.287860000000002,-71.171520000000001,0,200.000000000000000,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345052853539,0.000013707662067
6,0,6,17,42.297300000000000,-71.056539999999998,0,200.000000000000000,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013346260065305,0.000013709687008
7,0,7,19,42.344310000000000,-71.090779999999995,0,200.000000000000000,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352279520510,0.000013719782125
8,0,8,20,42.338949999999997,-71.092439999999996,0,200.000000000000000,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351592452565,0.000013718630188
9,0,9,25,42.348709999999997,-71.071730000000002,0,200.000000000000000,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352844052164,0.000013720729110
10,1,10,27,42.349919999999997,-71.086219999999997,0,200.000000000000000,16,10,NCES & Consortium,0,"320 Newbury Street, Boston, Massachusetts 02115-2*",15443,164872,Boston Architectural College,"320 Newbury Street, Boston, Massachusetts 02115",Back Bay,42344,BOSTON ARCHITECTURAL COLLEGE,(617) 262-5000,1899,6,11385900,1406,0, ,42.348460000000003,-71.085800000000006,0503062000,768133.942992439959198,2952279.570107770152390,1215, ,1037,http://www.the-bac.edu, ,0.013352999076196,0.000013720989111
11,0,11,28,42.346269999999997,-71.042169999999999,0,200.000000000000000,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352531368127,0.000013720204800
12,0,12,29,42.248550000000002,-71.126959999999997,0,200.000000000000000,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013340033333794,0.000013699242197
13,2,13,33,42.346359999999997,-71.090950000000007,0,200.000000000000000,21,13,NCES & Consortium,0,"8 the Fenway, Boston, Massachusetts 02215",22285,164933,The Boston Conservatory,"8 Fenway, Boston, Massachusetts 02215",Fenway/Kenmore,35350,BOSTON CONSERVATRY MUSIC,(617) 536-6340,1899,6,4900600,682,0, ,42.346058220000003,-71.090011329999996,0401795000,766999.744801520020701,2951398.816291850060225,710,29%,774,http://www.bostonconservatory.edu, ,0.013352542592240,0.000013720223434
14,0,14,36,42.331229999999998,-71.076960000000000,0,200.000000000000000,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350603131081,0.000013716970829
15,0,15,38,42.329450000000001,-71.035200000000003,0,200.000000000000000,24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350375377430,0.000013716588925
