FID,Row_Labels,Average_of,Average__1,Comm
3,8,42.349089999999997,-71.157079999999993,1
4,10,42.346960000000003,-71.092399999999998,1
5,11,42.290810000000000,-71.089179999999999,1
6,13,42.350459999999998,-71.042810000000003,1
9,16,42.361229999999999,-71.063749999999999,1
11,18,42.345129999999997,-71.040379999999999,1
13,20,42.338949999999997,-71.092439999999996,1
14,22,42.338270000000001,-71.106160000000003,1
15,25,42.348709999999997,-71.071730000000002,1
16,27,42.349919999999997,-71.086219999999997,1
19,31,42.349089999999997,-71.094989999999996,1
20,32,42.348570000000002,-71.140150000000006,1
22,35,42.271529999999998,-71.172650000000004,1
25,39,42.352260000000001,-71.075990000000004,1
26,40,42.358190000000000,-71.154709999999994,1
31,49,42.325240000000001,-71.074950000000001,1
33,52,42.300719999999998,-71.049310000000006,1
34,54,42.301380000000002,-71.112440000000007,1
37,60,42.331600000000002,-71.053139999999999,1
38,63,42.306249999999999,-71.067009999999996,1
39,64,42.328029999999998,-71.056920000000005,1
40,65,42.344560000000001,-71.097819999999999,1
43,70,42.354810000000001,-71.149950000000004,1
44,73,42.333779999999997,-71.105620000000002,1
47,76,42.340089999999996,-71.166139999999999,1
52,81,42.344009999999997,-71.103470000000002,1
54,83,42.354770000000002,-71.051429999999996,1
55,85,42.362769999999998,-71.057509999999994,1
58,88,42.273699999999998,-71.070089999999993,1
62,94,42.318700000000000,-71.044719999999998,1
66,100,42.290210000000002,-71.071820000000002,1
67,103,42.351059999999997,-71.168620000000004,1
71,113,42.337699999999998,-71.095590000000001,1
72,114,42.336179999999999,-71.149349999999998,1
73,116,42.379989999999999,-71.025400000000005,1
75,118,42.333199999999998,-71.109459999999999,1
78,122,42.291200000000003,-71.089140000000000,1
79,123,42.351039999999998,-71.043940000000006,1
80,124,42.350430000000003,-71.072659999999999,1
82,126,42.368879999999997,-71.039749999999998,1
84,129,42.278250000000000,-71.160120000000006,1
90,136,42.331420000000001,-71.094480000000004,1
91,138,42.287269999999999,-71.150049999999993,1
92,140,42.335970000000003,-71.150850000000005,1
95,143,42.353490000000001,-71.071489999999997,1
96,145,42.339050000000000,-71.057130000000001,1
97,148,42.284260000000003,-71.091459999999998,1
98,149,42.271349999999998,-71.073610000000002,1
99,150,42.350510000000000,-71.110939999999999,1
100,155,42.319569999999999,-71.081440000000001,1
101,156,42.282389999999999,-71.114919999999998,1
102,157,42.351770000000002,-71.045509999999993,1
106,165,42.292050000000003,-71.047529999999995,1
107,166,42.364789999999999,-71.135459999999995,1
110,169,42.279949999999999,-71.118910000000000,1
113,173,42.275250000000000,-71.140649999999994,1
115,175,42.315420000000003,-71.056680000000000,1
116,176,42.350340000000003,-71.084699999999998,1
118,178,42.352100000000000,-71.124920000000003,1
119,179,42.355629999999998,-71.055689999999998,1
123,186,42.283220000000000,-71.051940000000002,1
124,187,42.348779999999998,-71.134230000000002,1
128,194,42.352629999999998,-71.055400000000006,1
130,197,42.332819999999998,-71.051100000000005,1
131,198,42.307650000000002,-71.115499999999997,1
132,199,42.350850000000001,-71.089479999999995,1
134,204,42.322809999999997,-71.100579999999994,1
135,205,42.350499999999997,-71.068659999999994,1
138,212,42.357160000000000,-71.051640000000006,1
139,213,42.298299999999998,-71.115840000000006,1
140,215,42.294499999999999,-71.088139999999996,1
141,216,42.348999999999997,-71.150530000000003,1
142,217,42.349280000000000,-71.088719999999995,1
144,220,42.357019999999999,-71.069869999999995,1
147,228,42.310459999999999,-71.106999999999999,1
150,233,42.306649999999998,-71.115250000000003,1
151,234,42.287669999999999,-71.146510000000006,1
152,235,42.350090000000002,-71.077349999999996,1
153,236,42.322580000000002,-71.098460000000003,1
155,238,42.275840000000002,-71.167079999999999,1
156,239,42.372410000000002,-71.064949999999996,1
157,240,42.320580000000000,-71.050089999999997,1
158,242,42.353290000000001,-71.134410000000003,1
160,245,42.346550000000001,-71.087370000000007,1
161,246,42.272520000000000,-71.069429999999997,1
163,250,42.261620000000001,-71.122169999999997,1
167,257,42.280909999999999,-71.092550000000003,1
168,258,42.338110000000000,-71.153310000000005,1
171,266,42.273319999999998,-71.093639999999994,1
172,267,42.332960000000000,-71.101320000000001,1
173,268,42.279370000000000,-71.093090000000004,1
174,269,42.285989999999998,-71.147779999999997,1
175,270,42.279550000000000,-71.135540000000006,1
176,272,42.348360000000000,-71.083730000000003,1
177,274,42.357579999999999,-71.056410000000000,1
178,275,42.358789999999999,-71.070719999999994,1
179,276,42.309680000000000,-71.115480000000005,1
182,279,42.350059999999999,-71.089100000000002,1
183,280,42.347250000000003,-71.073539999999994,1
186,283,42.347980000000000,-71.068029999999993,1
189,286,42.300330000000002,-71.066230000000004,1
191,288,42.351469999999999,-71.080460000000002,1
193,290,42.348840000000003,-71.097219999999993,1
195,292,42.349119999999999,-71.039599999999993,1
196,295,42.349460000000001,-71.132750000000001,1
198,301,42.292810000000003,-71.050659999999993,1
199,302,42.295520000000003,-71.072119999999998,1
201,304,42.343750000000000,-71.142880000000005,1
203,307,42.299939999999999,-71.113560000000007,1
204,309,42.340589999999999,-71.081729999999993,1
206,313,42.299759999999999,-71.060310000000001,1
209,318,42.337780000000002,-71.105140000000006,1
210,319,42.361130000000003,-71.066000000000003,1
211,320,42.313229999999997,-71.114099999999993,1
216,326,42.283729999999998,-71.156970000000001,1
