OBJECTID,Row_Labels,Average_of,Average__1,Comm,ACRES,SITE_NAME,OBJECTID_1,ACRES_1,AREA,PERCENTAGE
1,0,42.291739999999997,-71.077179999999998,0,0.102924100000000,Spencer Street Garden,8570,0.102924007149734,0.139681450366017,0.083441029555883
2,0,42.291739999999997,-71.077179999999998,0,0.154809320000000,Wheatland Avenue Victory Garden,8096,0.154809625263171,0.208734520232112,0.124691025375107
3,0,42.291739999999997,-71.077179999999998,0,0.234840210000000,Elmhurst Street Park,8565,0.234840412611126,0.316620843225016,0.189138708599598
4,0,42.291739999999997,-71.077179999999998,0,1.371399830000000,Nightingale Garden,8080,0.000004909056736,0.000006619252369,0.000003954120115
5,0,42.291739999999997,-71.077179999999998,0,2.625227840000000,Codman Burying Ground,8073,2.625227526007034,3.539499358451509,2.114378607951763
6,0,42.291739999999997,-71.077179999999998,0,10.621638050000000,St Mary's Cemetery,8801,9.441141987661270,12.585523490747843,7.518171058619279
7,0,42.291739999999997,-71.077179999999998,0,45.557800880000002,Harambee Park,8800,3.692516440703928,4.889604444066064,2.920886258445920
8,3,42.343840000000000,-71.061179999999993,0,0.660000000000000,Fourth Street Park,8747,0.659998903555569,0.889530935239801,0.530942744525517
9,3,42.343840000000000,-71.061179999999993,0,1.050000000000000,Rolling Bridge Park,8746,0.585807627686506,0.793893745529970,0.473858870349116
10,3,42.343840000000000,-71.061179999999993,0,2.745850150000000,Rotch Playground,8108,2.722653052222134,3.673842508997135,2.192841133912451
11,7,42.356510000000000,-71.061980000000005,1,0.080000000000000,School Street Park,7884,0.079999782343313,0.100939998424437,0.060237046364964
12,7,42.356510000000000,-71.061980000000005,1,0.130000000000000,Pemberton Square Access,8388,0.130000974290994,0.170581061781883,0.101796111431804
13,7,42.356510000000000,-71.061980000000005,1,0.160000000000000,Winthrop Square,7891,0.051837335076545,0.070535497785325,0.042092828579259
14,7,42.356510000000000,-71.061980000000005,1,0.184852390000000,Pemberton Square I,7879,0.184852707873421,0.249500011846623,0.148891856709458
15,7,42.356510000000000,-71.061980000000005,1,0.226758710000000,Old City Hall Grounds,8808,0.226758354027945,0.330769876408391,0.197390535886140
16,7,42.356510000000000,-71.061980000000005,1,0.430548040000000,King's Chapel Burying Ground,8809,0.430548491853274,0.582711293764673,0.347739327994612
17,7,42.356510000000000,-71.061980000000005,1,0.820000000000000,Ashburton Place Plaza,8501,0.820001459774783,1.105628141094098,0.659795667099704
18,7,42.356510000000000,-71.061980000000005,1,0.930300390000000,Somerset Street Plaza,7867,0.380525488457832,0.374629271211364,0.223564108696959
19,7,42.356510000000000,-71.061980000000005,1,1.062164940000000,Pemberton Square II,7880,0.865457650607642,1.168140266526758,0.697100460609072
20,7,42.356510000000000,-71.061980000000005,1,1.238705430000000,State House Park,7863,1.238704985775475,1.671912230663775,0.997731881599308
21,7,42.356510000000000,-71.061980000000005,1,1.860000000000000,Granary Burying Ground,7859,1.860000241741403,2.505955342417026,1.495456216622645
22,7,42.356510000000000,-71.061980000000005,1,5.931465180000000,City Hall Plaza,7876,0.102895760890551,0.140804530453239,0.084026641189797
23,7,42.356510000000000,-71.061980000000005,1,45.740000000000002,Boston Common,7856,25.212767186433840,34.026215685913890,20.305515790462543
24,8,42.349089999999997,-71.157079999999993,1,0.395347790000000,Market Street Burying Ground,7828,0.030045100075570,0.040547205404944,0.024199802604594
25,8,42.349089999999997,-71.157079999999993,1,0.510231970000000,Brighton Common,8555,0.510232290259846,0.683678032169659,0.408039796044378
26,8,42.349089999999997,-71.157079999999993,1,3.406057270000000,Foster Street Hill,7839,1.704869643615522,2.797147332585523,1.669422408486924
27,8,42.349089999999997,-71.157079999999993,1,8.171169620000001,Rogers Park,7836,8.171170320353319,11.026885376054487,6.581179807066627
28,10,42.346960000000003,-71.092399999999998,0,0.108116400000000,Edgerly Road Playground,7927,0.108116358650541,0.166238828033510,0.099219690580210
29,10,42.346960000000003,-71.092399999999998,0,0.620000000000000,Boylston Street I,8519,0.620012642310334,0.832392068474193,0.496813436742843
30,10,42.346960000000003,-71.092399999999998,0,0.770000000000000,The Fenway II,8521,0.427863508722154,0.576251871229791,0.343936089035479
31,10,42.346960000000003,-71.092399999999998,0,0.840000000000000,Fire Alarm House Grounds,8524,0.840000711693540,1.139525714447198,0.680126238455271
32,10,42.346960000000003,-71.092399999999998,0,0.980000000000000,Commonwealth Avenue Mall II,7931,0.980000907675243,1.310280212313935,0.782041107826834
33,10,42.346960000000003,-71.092399999999998,0,1.490000000000000,Charlesgate II,8510,1.489998499410297,2.007375528095289,1.198102640231270
34,10,42.346960000000003,-71.092399999999998,0,2.400000000000000,Boylston Street II,8520,2.400000075107782,2.402065125310682,1.433673235706385
35,10,42.346960000000003,-71.092399999999998,0,2.780000000000000,Fenway Park Field,7925,1.355296087778957,1.831481280813477,1.093120109996983
36,10,42.346960000000003,-71.092399999999998,0,5.100000000000000,Park Drive I,8522,1.396541938163687,1.882631345139068,1.123649040064513
37,10,42.346960000000003,-71.092399999999998,0,6.520000000000000,Charlesgate I,8751,5.364599237105992,7.317814112275787,4.367639380837905
38,10,42.346960000000003,-71.092399999999998,0,10.869999999999999,Commonwealth Avenue Mall I,8527,1.338888896597847,1.806959812703227,1.078484464959947
39,10,42.346960000000003,-71.092399999999998,0,50.280000000000001,The Fenway I,8598,6.791803919860835,1.230417385933765,0.734374957770096
40,10,42.346960000000003,-71.092399999999998,0,70.920000000000002,Back Bay Fens,8504,23.240630762377076,30.995223267559581,18.499507596696194
41,11,42.290810000000000,-71.089179999999999,1,0.351908560000000,ReVision House Urban Farm #1,7999,0.351908345778777,0.474469779209160,0.283436506229251
42,11,42.290810000000000,-71.089179999999999,1,0.376428850000000,ReVision House Urban Farm #2,8346,0.376429802772397,0.241056356630201,0.144001102960653
43,11,42.290810000000000,-71.089179999999999,1,0.390000000000000,Franklin Field BHA Playground,8423,0.389999867147185,0.526848528375806,0.314726274966888
44,11,42.290810000000000,-71.089179999999999,1,0.433777870000000,Franklin Field BHA Garden,7998,0.433778067350527,0.129810003591827,0.077545284239177
45,11,42.290810000000000,-71.089179999999999,1,0.700000000000000,Franklin Field BHA Green,8422,0.700000974613197,0.948188501878394,0.566424349865044
46,11,42.290810000000000,-71.089179999999999,1,3.040000000000000,Blue Hill Club Recreation Center,8813,0.958916292287058,1.293714445829478,0.772832999385979
47,11,42.290810000000000,-71.089179999999999,1,3.570000000000000,Canterbury Brookside I,8397,0.006319458065004,0.007820917563790,0.004672022638581
48,11,42.290810000000000,-71.089179999999999,1,45.557800880000002,Harambee Park,8800,23.529084218525981,31.157048751765892,18.612450001208579
49,13,42.350459999999998,-71.042810000000003,1,0.090000000000000,Pier Four Harborwalk,8499,0.090000210566990,0.119207050256664,0.071144856267943
50,13,42.350459999999998,-71.042810000000003,1,0.200000000000000,Williams Tunnel Portal Park,8539,0.021547087966405,0.028901038665664,0.017248646262414
51,13,42.350459999999998,-71.042810000000003,1,0.290000000000000,ICA Pier Walk,8647,0.289999795384414,0.394924676113121,0.235697966338710
52,13,42.350459999999998,-71.042810000000003,1,0.460000000000000,Podium Plaza,8538,0.459999485992048,0.622260124049815,0.371375744903325
53,13,42.350459999999998,-71.042810000000003,1,0.600000000000000,Q Park,8750,0.600000169366654,0.808931126090189,0.482784269658872
54,13,42.350459999999998,-71.042810000000003,1,0.880000000000000,South Boston Maritime Park,8333,0.880000872879959,1.182944996279967,0.706002300635874
55,13,42.350459999999998,-71.042810000000003,1,1.150000000000000,Eastport Park,8332,1.149999984202958,1.552282373432039,0.926429318629253
56,13,42.350459999999998,-71.042810000000003,1,1.260000000000000,The Park at Fan Pier,8649,1.260000598868461,1.704272917715260,1.017139938545055
57,13,42.350459999999998,-71.042810000000003,1,1.660000000000000,Fan Pier Harborwalk,8648,0.495288092707409,0.669135928938479,0.399352046590747
58,15,42.287860000000002,-71.171520000000001,0,12.440000000000000,VFW Parkway I,8803,2.303843971746597,3.106455908591639,1.855805544682678
