OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,Comm,BUFF_DIST,ORIG_FID,OBJECTID_1,OBJECTID_12,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,POINT_X,POINT_Y,SCHID,NAME,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE,Shape_Length,Shape_Area
1,1,1,0,42.291739999999997,-71.077179999999998,0,400.000000000000000,0,58,1,80,Lee Bldg,155 Talbot Avenue,Dorchester,02124,4290,4290,Lee K-8,Lee K-8,K-8, , ,769700.926305999979377,2931868.260540000163019,,,,,,,,,,,,0.026693280050119,0.000054851913826
2,0,2,3,42.343840000000000,-71.061179999999993,0,400.000000000000000,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.026706622216918,0.000054896678574
3,1,3,10,42.346960000000003,-71.092399999999998,0,400.000000000000000,4,88,3,,,"650 Beacon St , 3rd Floor",,,,,,,,,,,,05230001,EDCO Collaborative - EDCO YOUTH ALT,Boston,BOSTON,MA,02215, ,617-262-9562,617-262-0098, ,COP,0.026707422275052,0.000054899362762
4,0,4,14,42.333340000000000,-71.063360000000003,0,400.000000000000000,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0.026703930405157,0.000054887647438
5,0,5,15,42.287860000000002,-71.171520000000001,0,400.000000000000000,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.026692288032066,0.000054848585152
6,0,6,17,42.297300000000000,-71.056539999999998,0,400.000000000000000,10,,6,,,,,,,,,,,,,,,,,,,,,,,,,,0.026694702219505,0.000054856685622
7,1,7,19,42.344310000000000,-71.090779999999995,0,400.000000000000000,12,82,7,116,Health Careers Academy,110 The Fenway,Boston,02115,1440,1440,Kennedy Health Careers Academy (11-12),Kennedy HCA (11-12),HS, , ,766597.244949999963865,2949717.523140000179410,,,,,,,,,,,,0.026706742608939,0.000054897082120
8,1,8,20,42.338949999999997,-71.092439999999996,0,400.000000000000000,13,82,8,116,Health Careers Academy,110 The Fenway,Boston,02115,1440,1440,Kennedy Health Careers Academy (11-12),Kennedy HCA (11-12),HS, , ,766597.244949999963865,2949717.523140000179410,,,,,,,,,,,,0.026705368332274,0.000054892471876
9,2,9,25,42.348709999999997,-71.071730000000002,0,400.000000000000000,15,15,9,21,Abraham Lincoln Building,152 Arlington Street,Boston,02116,1450,1450,Quincy Upper School,Quincy Upper (6-12),K-12, , ,772661.999994999961928,2952280.000010000076145,,,,,,,,,,,,0.026707871425460,0.000054900869323
10,2,10,27,42.349919999999997,-71.086219999999997,0,400.000000000000000,16,112,10,,,247 Marlborough Street,,,,,,,,,,,,00350794,The Newman School,Boston,BOSTON,MA,02116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI,0.026708181715837,0.000054901910453
