FID,Row_Labels,Average_of,Average__1,Comm,industry
0,0,42.291739999999997,-71.077179999999998,0,1
1,3,42.343840000000000,-71.061179999999993,0,1
2,7,42.356510000000000,-71.061980000000005,0,0
3,8,42.349089999999997,-71.157079999999993,1,0
4,10,42.346960000000003,-71.092399999999998,1,0
5,11,42.290810000000000,-71.089179999999999,1,0
6,13,42.350459999999998,-71.042810000000003,1,1
7,14,42.333340000000000,-71.063360000000003,0,1
8,15,42.287860000000002,-71.171520000000001,0,0
9,16,42.361229999999999,-71.063749999999999,1,0
10,17,42.297300000000000,-71.056539999999998,0,1
11,18,42.345129999999997,-71.040379999999999,1,1
12,19,42.344310000000000,-71.090779999999995,0,0
13,20,42.338949999999997,-71.092439999999996,1,0
14,22,42.338270000000001,-71.106160000000003,1,0
15,25,42.348709999999997,-71.071730000000002,1,0
16,27,42.349919999999997,-71.086219999999997,1,0
17,28,42.346269999999997,-71.042169999999999,0,1
18,29,42.248550000000002,-71.126959999999997,0,0
19,31,42.349089999999997,-71.094989999999996,1,0
20,32,42.348570000000002,-71.140150000000006,1,0
21,33,42.346359999999997,-71.090950000000007,0,0
22,35,42.271529999999998,-71.172650000000004,1,0
23,36,42.331229999999998,-71.076960000000000,0,1
24,38,42.329450000000001,-71.035200000000003,0,0
25,39,42.352260000000001,-71.075990000000004,1,0
26,40,42.358190000000000,-71.154709999999994,1,1
27,42,42.346310000000003,-71.048349999999999,0,1
28,45,42.321629999999999,-71.092020000000005,0,0
29,47,42.296810000000001,-71.132919999999999,0,0
30,48,42.309049999999999,-71.120800000000003,0,0
31,49,42.325240000000001,-71.074950000000001,1,0
32,51,42.350220000000000,-71.091809999999995,0,0
33,52,42.300719999999998,-71.049310000000006,1,0
34,54,42.301380000000002,-71.112440000000007,1,1
35,57,42.340310000000002,-71.109930000000006,0,0
36,58,42.313609999999997,-71.046790000000001,0,0
37,60,42.331600000000002,-71.053139999999999,1,1
38,63,42.306249999999999,-71.067009999999996,1,0
39,64,42.328029999999998,-71.056920000000005,1,1
40,65,42.344560000000001,-71.097819999999999,1,0
41,66,42.336880000000001,-71.078720000000004,0,0
42,69,42.289879999999997,-71.118170000000006,0,0
43,70,42.354810000000001,-71.149950000000004,1,0
44,73,42.333779999999997,-71.105620000000002,1,0
45,74,42.318579999999997,-71.056730000000002,0,0
46,75,42.325960000000002,-71.083389999999994,0,0
47,76,42.340089999999996,-71.166139999999999,1,0
48,77,42.336060000000003,-71.091329999999999,0,0
49,78,42.334240000000001,-71.072460000000007,0,0
50,79,42.352379999999997,-71.062590000000000,0,0
51,80,42.328029999999998,-71.067899999999995,0,1
52,81,42.344009999999997,-71.103470000000002,1,0
53,82,42.340789999999998,-71.070710000000005,0,0
54,83,42.354770000000002,-71.051429999999996,1,1
55,85,42.362769999999998,-71.057509999999994,1,0
56,86,42.346899999999998,-71.065870000000004,0,0
57,87,42.292850000000001,-71.096239999999995,0,0
58,88,42.273699999999998,-71.070089999999993,1,0
59,89,42.334960000000002,-71.071460000000002,0,0
60,90,42.346339999999998,-71.063190000000006,0,0
61,91,42.293100000000003,-71.149379999999994,0,0
62,94,42.318700000000000,-71.044719999999998,1,0
63,96,42.296070000000000,-71.061369999999997,0,0
64,98,42.335000000000001,-71.088579999999993,0,0
65,99,42.307310000000001,-71.119510000000005,0,0
66,100,42.290210000000002,-71.071820000000002,1,0
67,103,42.351059999999997,-71.168620000000004,1,0
68,104,42.337389999999999,-71.083889999999997,0,0
69,106,42.318820000000002,-71.095309999999998,0,0
70,110,42.360660000000003,-71.129230000000007,0,0
71,113,42.337699999999998,-71.095590000000001,1,0
72,114,42.336179999999999,-71.149349999999998,1,0
73,116,42.379989999999999,-71.025400000000005,1,0
74,117,42.341410000000003,-71.107519999999994,0,0
75,118,42.333199999999998,-71.109459999999999,1,0
76,119,42.377710000000000,-71.026110000000003,0,0
77,121,42.340190000000000,-71.063069999999996,0,1
78,122,42.291200000000003,-71.089140000000000,1,0
79,123,42.351039999999998,-71.043940000000006,1,0
80,124,42.350430000000003,-71.072659999999999,1,0
81,125,42.351149999999997,-71.085099999999997,0,0
82,126,42.368879999999997,-71.039749999999998,1,0
