OBJECTID,Row_Labels,Average_of,Average__1,comm,industry,acres,park,acres_1,AREA,PERCENTAGE
1,1,41.902140000000003,-87.765649999999994,0,0,0.290000000000000,DAVIS (MARGARET),0.290000031431224,0.380512988896587,0.228685712262093
2,3,41.875749999999996,-87.623199999999997,1,0,295.449999999999989,GRANT (ULYSSES),62.273089030022319,88.487325201117230,53.201925354625267
3,4,41.875619999999998,-87.629260000000002,1,0,0.400000000000000,PARK NO. 543,0.399999815021327,0.504517579890093,0.303335651194389
4,4,41.875619999999998,-87.629260000000002,1,0,1.100000000000000,PRITZKER,1.099999884971921,1.531563221995828,0.920835558179533
5,5,41.886029999999998,-87.735640000000004,0,0,1.140000000000000,TILTON (GEORGE),1.140000376462816,1.531582910158441,0.920699625734823
6,6,41.771580000000000,-87.710220000000007,0,0,315.629999999999995,MARQUETTE (JACQUES),48.388981108487982,64.627611560960645,38.918887987288393
7,10,41.899540000000002,-87.677160000000001,0,0,0.160000000000000,HONOR? (BERTHA PALMER),0.160000248473524,0.209942222322274,0.126178906166342
8,10,41.899540000000002,-87.677160000000001,0,0,1.510000000000000,COMMERCIAL CLUB PGD. of CHICAGO,0.205945976189916,0.277643419709129,0.166868496559035
9,11,41.831130000000002,-87.617140000000006,1,0,9.859999999999999,ELLIS (SAMUEL),0.028922381792125,0.050681229712698,0.030492419178577
10,15,41.871250000000003,-87.686160000000001,1,0,1.040000000000000,CLAREMONT,1.040000268834386,1.390973945289262,0.836364130234583
11,15,41.871250000000003,-87.686160000000001,1,0,2.630000000000000,LIVINGSTON FIELD,0.637011270320063,0.841340501287753,0.505880803140656
12,16,41.881459999999997,-87.666740000000004,1,0,14.240000000000000,UNION,12.717040789727319,16.475522976808225,9.904835331706021
13,17,41.867310000000003,-87.710579999999993,0,1,3.650000000000000,PARK NO. 534,0.601581971845660,0.805299108218937,0.484239256637076
14,17,41.867310000000003,-87.710579999999993,0,1,5.460000000000000,HOMAN SQUARE COMMUNITY CENTER,3.265874728104297,4.367266246931207,2.626107168586619
15,18,41.773539999999997,-87.742140000000006,0,0,12.750000000000000,"MADIGAN (MICHAEL J., SR.)",2.225810737152970,2.980381816228750,1.794738302533513
