OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,ASSET_NAME,OBJECTID_1,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
1,4,39.937019999999997,-75.175150000000002,0,0,"Charles H. Chew, Sr. Playground",290,2.798553960000000,2.384397035443242,3.103081864084615,7.683883464142670
2,4,39.937019999999997,-75.175150000000002,0,0,"Charles H. Chew, Sr. Playground Building",495,0.057040710000000,0.057040715462704,0.074233153222709,0.183816903170038
3,4,39.937019999999997,-75.175150000000002,0,0,"Charles H. Chew, Sr. Playground Garden",1351,0.025111020000000,0.025111036509415,0.032679673632574,0.080921746456402
4,6,39.981220000000000,-75.188699999999997,0,0,33rd & Oxford Driving Range,162,9.402449320000001,5.827648957872619,7.588840436416395,18.779614397295884
5,6,39.981220000000000,-75.188699999999997,0,0,33rd & Oxford Driving Range Garage Building,580,0.017448890000000,0.017448897395942,0.022722044622437,0.056228779601146
6,6,39.981220000000000,-75.188699999999997,0,0,33rd & Oxford Driving Range Office Trailer,585,0.007032270000000,0.007032340693620,0.009157678853871,0.022661917731819
7,6,39.981220000000000,-75.188699999999997,0,0,33rd & Oxford Driving Range Toilet Building,583,0.004612250000000,0.004612207934327,0.006006118763142,0.014862955064243
8,6,39.981220000000000,-75.188699999999997,0,0,East Fairmount Park,24,659.240958959999944,15.692619983726010,20.436319138327068,50.572442039523516
9,6,39.981220000000000,-75.188699999999997,0,0,Sedgley Woods Disc Golf Course,35,32.423431680000000,0.464075253377065,0.604326094332856,1.495486842408051
10,7,39.970469999999999,-75.148970000000006,0,0,East Poplar Field,280,3.081339940000000,1.193003034253316,1.553282208189693,3.844402457651408
11,15,39.987870000000001,-75.155869999999993,0,0,Winchester Playground,364,0.612977790000000,0.435232504483783,0.566837705123171,1.402582326124895
12,15,39.987870000000001,-75.155869999999993,0,0,Winchester Playground Building,1055,0.085054380000000,0.014976513962237,0.019505097962881,0.048263383724849
13,17,39.955900000000000,-75.167879999999997,1,0,Basilica Green,1026,0.276190390000000,0.276190031153102,0.359536906184135,0.890047192654933
14,17,39.955900000000000,-75.167879999999997,1,0,Benjamin Franklin Parkway,1033,64.509472470000006,3.112761921567166,4.052347851476237,10.031740182523800
15,17,39.955900000000000,-75.167879999999997,1,0,Benjamin Franklin Parkway Medians,133,13.931207640000000,0.321291233376632,0.418282978789415,1.035475314504137
16,17,39.955900000000000,-75.167879999999997,1,0,Cafe Cret,1166,0.038481390000000,0.038481492254024,0.050092905402841,0.124006879568836
17,17,39.955900000000000,-75.167879999999997,1,0,Cret Park,1011,1.121917470000000,1.121917659994980,1.460447745720035,3.615393562494591
18,17,39.955900000000000,-75.167879999999997,1,0,John F. Kennedy Plaza,307,2.439869380000000,0.021044593735718,0.027394111298962,0.067815157324713
19,17,39.955900000000000,-75.167879999999997,1,0,Levy Park,1001,0.572631830000000,0.572631215620534,0.745414012790704,1.845300546448577
20,17,39.955900000000000,-75.167879999999997,1,0,Logan Square,1024,9.209228050000000,0.175561725477494,0.228544757632474,0.565771180727152
21,17,39.955900000000000,-75.167879999999997,1,0,Sister Cities Park,1010,1.729054770000000,0.097984883736071,0.127555435461891,0.315768298853275
22,17,39.955900000000000,-75.167879999999997,1,0,Torun Triangle,1014,0.624215370000000,0.624215717798680,0.812581547092666,2.011576314846044
23,19,39.998220000000003,-75.187610000000006,0,0,Dell Music Center,73,8.541337800000001,0.439143030853986,0.571992694210839,1.415126873423474
24,19,39.998220000000003,-75.187610000000006,0,0,East Fairmount Park,24,659.240958959999944,0.471374129313747,0.613865125785039,1.518720509803723
25,21,39.959009999999999,-75.173940000000002,0,0,Aviator Park,1008,1.903299470000000,0.471601832742466,0.613925817471024,1.519728524110503
26,21,39.959009999999999,-75.173940000000002,0,0,Barnes Foundation Museum,203,5.387681140000000,2.091671600115814,2.723015876217082,6.740626930692925
27,21,39.959009999999999,-75.173940000000002,0,0,Barnes Museum Building,1111,0.909827730000000,0.283562380503240,0.369152275709434,0.913809498103426
28,21,39.959009999999999,-75.173940000000002,0,0,Benjamin Franklin Parkway,1033,64.509472470000006,8.451149309735010,11.002125318523360,27.234957704295375
29,21,39.959009999999999,-75.173940000000002,0,0,Benjamin Franklin Parkway Medians,133,13.931207640000000,4.143536330404904,5.394391564279703,13.353422347063729
30,21,39.959009999999999,-75.173940000000002,0,0,Former BSA Building,1070,0.154628280000000,0.154628778628347,0.201296472203770,0.498294715591309
31,21,39.959009999999999,-75.173940000000002,0,0,Logan Square,1024,9.209228050000000,0.639954649553518,0.833087507429020,2.062247281496284
32,21,39.959009999999999,-75.173940000000002,0,0,Rodin Museum,240,4.190618850000000,0.062141804631013,0.080899943571884,0.200261901920953
33,21,39.959009999999999,-75.173940000000002,0,0,Shakespeare Park,1152,1.183946240000000,0.154519339251936,0.201154336295025,0.497942868529868
34,21,39.959009999999999,-75.173940000000002,0,0,West Triangle,1013,0.152973430000000,0.013832673565541,0.018007353662971,0.044575888855912
35,21,39.959009999999999,-75.173940000000002,0,0,Winter Street,1009,1.607994450000000,1.514799295571008,1.971979050498633,4.881490119337690
36,23,39.936000000000000,-75.146860000000004,0,0,Beck Park,421,0.074275520000000,0.074275741403147,0.096660825204399,0.239356050473308
37,23,39.936000000000000,-75.146860000000004,0,0,I-95 Park,428,12.845365760000000,0.880878547069108,1.146463953062172,2.838927592793708
38,23,39.936000000000000,-75.146860000000004,0,0,Mario Lanza Park,372,0.506920240000000,0.506920369505588,0.659704019388592,1.633589908096855
39,23,39.936000000000000,-75.146860000000004,0,0,Shot Tower Playground,330,1.438159320000000,1.438158983245087,1.871546596186147,4.634411102870380
40,23,39.936000000000000,-75.146860000000004,0,0,Shot Tower Recreation Center Building,492,0.164358910000000,0.164359267594960,0.213888248425659,0.529640071637726
41,25,39.936920000000001,-75.150229999999993,0,0,Weccacoe Playground,269,0.903741930000000,0.903742407436736,1.176137054699234,2.912366868574170
