OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,comm,ind,BUFF_DIST,ORIG_FID,OBJECTID_1,AUN,SCHOOL_NUM,LOCATION_I,SCHOOL_NAM,SCHOOL_N_1,STREET_ADD,ZIP_CODE,PHONE_NUMB,ACTIVE,GRADE_LEVE,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECI,Shape_Length,Shape_Area
1,0,1,0,39.970790000000001,-75.154150000000001,0,0,200.000000000000000,0,1,,,,,,,,,,,,,,,0.013066711659216,0.000013239031482
2,0,2,1,40.041950000000000,-75.056830000000005,1,0,200.000000000000000,1,2,,,,,,,,,,,,,,,0.013074753124797,0.000013252621592
3,1,3,2,39.998289999999997,-75.127340000000004,0,1,200.000000000000000,2,3,133513315,8149,3406,ASPIRA CHARTER @ STETSON,Aspira Charter School at Stetson,3200 B ST,19134,215-291-4720, ,Middle School,5-8, ,2,Charter,0.013069815805426,0.000013244278026
4,0,4,4,39.937019999999997,-75.175150000000002,0,0,200.000000000000000,3,4,,,,,,,,,,,,,,,0.013062906291946,0.000013232599455
5,0,5,5,40.040500000000002,-75.047420000000002,0,0,200.000000000000000,4,5,,,,,,,,,,,,,,,0.013074588749776,0.000013252343798
6,0,6,6,39.981220000000000,-75.188699999999997,0,0,200.000000000000000,5,6,,,,,,,,,,,,,,,0.013067888398578,0.000013241020382
7,0,7,7,39.970469999999999,-75.148970000000006,0,0,200.000000000000000,6,7,,,,,,,,,,,,,,,0.013066675676816,0.000013238970816
8,0,8,10,39.959710000000001,-75.197130000000001,1,0,200.000000000000000,7,8,,,,,,,,,,,,,,,0.013065462508406,0.000013236920353
9,0,9,11,39.968769999999999,-75.134439999999998,0,0,200.000000000000000,8,9,,,,,,,,,,,,,,,0.013066483891164,0.000013238646337
10,1,10,15,39.987870000000001,-75.155869999999993,0,0,200.000000000000000,9,10,126511530, ,3441,TECH FREIRE CHARTER SCHOOL,TECH Freire Charter School,2221 N BROAD ST,19132,267-507-1111, ,High School,9-12, ,2,Charter,0.013068639188088,0.000013242289324
11,0,11,16,39.947189999999999,-75.166470000000004,1,0,200.000000000000000,10,11,,,,,,,,,,,,,,,0.013064051297784,0.000013234534833
12,1,12,17,39.955900000000000,-75.167879999999997,1,0,200.000000000000000,11,12,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.013065033175832,0.000013236194662
13,0,13,19,39.998220000000003,-75.187610000000006,0,0,200.000000000000000,12,13,,,,,,,,,,,,,,,0.013069807316842,0.000013244263321
14,0,14,20,39.980220000000003,-75.157529999999994,0,0,200.000000000000000,13,14,,,,,,,,,,,,,,,0.013067775785586,0.000013240830081
15,1,15,21,39.959009999999999,-75.173940000000002,0,0,200.000000000000000,14,15,226519494, , ,Kumon Math and Reading Philadelphia,Kumon Math and Reading Philadelphia,238 N 22nd St,19103,215-564-6284, , , , ,3,Private,0.013065383821910,0.000013236787156
16,0,16,23,39.936000000000000,-75.146860000000004,0,0,200.000000000000000,15,16,,,,,,,,,,,,,,,0.013062791414146,0.000013232405211
17,0,17,24,40.003729999999997,-75.169030000000006,0,1,200.000000000000000,16,17,,,,,,,,,,,,,,,0.013070430278337,0.000013245316391
18,0,18,25,39.936920000000001,-75.150229999999993,0,0,200.000000000000000,17,18,,,,,,,,,,,,,,,0.013062895213027,0.000013232580793
19,0,19,26,40.039490000000001,-75.033429999999996,0,0,200.000000000000000,18,19,,,,,,,,,,,,,,,0.013074474787920,0.000013252151165
20,0,20,27,39.894509999999997,-75.229550000000003,0,1,200.000000000000000,19,20,,,,,,,,,,,,,,,0.013058125973799,0.000013224518523
21,1,21,29,39.968989999999998,-75.159980000000004,1,0,200.000000000000000,20,21,126510004,7685,3335,PEOPLE FOR PEOPLE,People for People Charter School,800 N BROAD ST,19130,215-763-7060, ,Elem/Mid/High,K-12, ,2,Charter,0.013066508591414,0.000013238688418
22,0,22,30,39.960619999999999,-75.228620000000006,1,0,200.000000000000000,21,22,,,,,,,,,,,,,,,0.013065564936710,0.000013237093259
23,1,23,31,39.917510000000000,-75.156139999999994,0,0,200.000000000000000,22,23,126515001,3657,2690,"TAGGART, JOHN H. SCHOOL",John H. Taggart School,400 W PORTER ST,19148,215-400-8290, ,ELEMENTARYMIDDLE,K-8,451,1,District,0.013060710925178,0.000013228888082
24,0,24,32,39.941540000000003,-75.163759999999996,0,0,200.000000000000000,23,24,,,,,,,,,,,,,,,0.013063415346750,0.000013233460101
