OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,OBJECTID_1,ASSET_NAME,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
1,0,39.970790000000001,-75.154150000000001,0,0,218,East Poplar Playground,4.841094440000000,0.117250145491372,0.152654884197465,0.094424597023017
2,0,39.970790000000001,-75.154150000000001,0,0,280,East Poplar Field,3.081339940000000,0.290981514073861,0.378856042898427,0.234341202828102
3,0,39.970790000000001,-75.154150000000001,0,0,1320,East Poplar Playground Garden,0.631465670000000,0.048732986736875,0.063449161650333,0.039246445023870
4,0,39.970790000000001,-75.154150000000001,0,0,1365,Yorktown & Patrick Henry,0.221308510000000,0.221309104733739,0.288160513985779,0.178241531897899
5,0,39.970790000000001,-75.154150000000001,0,0,1366,Yorktown & Kings Place,0.100006670000000,0.100006769527213,0.130217189731898,0.080545773104771
6,0,39.970790000000001,-75.154150000000001,0,0,1367,Yorktown Commons,0.776314960000000,0.321292417882526,0.418355832425787,0.258773776526763
7,1,40.041950000000000,-75.056830000000005,1,0,191,Mayfair Recreation Center,6.475324520000000,5.342273569559344,6.962950635196970,4.302513057240236
8,1,40.041950000000000,-75.056830000000005,1,0,777,Mayfair Recreation Center Building 1,0.484366080000000,0.057389872617570,0.074799788948886,0.046219926794338
9,1,40.041950000000000,-75.056830000000005,1,0,1373,Mayfair Recreation Center Shed 1,0.004508750000000,0.004508704007554,0.005876542655349,0.003631205049518
10,1,40.041950000000000,-75.056830000000005,1,0,1374,Mayfair Recreation Center Shed 2,0.003063580000000,0.003063515428548,0.003992849319645,0.002467242299052
11,2,39.998289999999997,-75.127340000000004,0,1,12,Jose Manuel Collazo Park,1.539130730000000,1.539130831746191,2.004847254673468,1.239606003628358
12,2,39.998289999999997,-75.127340000000004,0,1,1023,Hope Park,1.232484370000000,1.232484091556374,1.605321608698283,0.992577513951722
13,4,39.937019999999997,-75.175150000000002,0,0,290,"Charles H. Chew, Sr. Playground",2.798553960000000,2.798553961915951,3.642070475594774,2.253895831204324
14,4,39.937019999999997,-75.175150000000002,0,0,495,"Charles H. Chew, Sr. Playground Building",0.057040710000000,0.057040733102970,0.074233176179864,0.045939211624270
15,4,39.937019999999997,-75.175150000000002,0,0,1351,"Charles H. Chew, Sr. Playground Garden",0.025111020000000,0.025111033515991,0.032679669736911,0.020223818259072
16,6,39.981220000000000,-75.188699999999997,0,0,24,East Fairmount Park,659.240958959999944,61.452333184781651,80.028669149026157,49.494254451337461
17,6,39.981220000000000,-75.188699999999997,0,0,35,Sedgley Woods Disc Golf Course,32.423431680000000,15.776773528762623,20.544762640175499,12.706042978943522
18,6,39.981220000000000,-75.188699999999997,0,0,162,33rd & Oxford Driving Range,9.402449320000001,9.402448664214109,12.243991211571702,7.572376536675717
19,6,39.981220000000000,-75.188699999999997,0,0,253,30th & Jefferson Playground,1.202430160000000,0.532821676913415,0.693841899753569,0.429111066078754
20,6,39.981220000000000,-75.188699999999997,0,0,580,33rd & Oxford Driving Range Garage Building,0.017448890000000,0.017448897395942,0.022722044622437,0.014052597277400
21,6,39.981220000000000,-75.188699999999997,0,0,583,33rd & Oxford Driving Range Toilet Building,0.004612250000000,0.004612214029492,0.006006126700400,0.003714528385109
