FID,Row_Labels,Average_of,Average__1,comm,ind
0,0,39.970790000000001,-75.154150000000001,0,0
1,1,40.041950000000000,-75.056830000000005,1,0
2,2,39.998289999999997,-75.127340000000004,0,1
3,4,39.937019999999997,-75.175150000000002,0,0
4,5,40.040500000000002,-75.047420000000002,0,0
5,6,39.981220000000000,-75.188699999999997,0,0
6,7,39.970469999999999,-75.148970000000006,0,0
7,10,39.959710000000001,-75.197130000000001,1,0
8,11,39.968769999999999,-75.134439999999998,0,0
9,15,39.987870000000001,-75.155869999999993,0,0
10,16,39.947189999999999,-75.166470000000004,1,0
11,17,39.955900000000000,-75.167879999999997,1,0
12,19,39.998220000000003,-75.187610000000006,0,0
13,20,39.980220000000003,-75.157529999999994,0,0
14,21,39.959009999999999,-75.173940000000002,0,0
15,23,39.936000000000000,-75.146860000000004,0,0
16,24,40.003729999999997,-75.169030000000006,0,1
17,25,39.936920000000001,-75.150229999999993,0,0
18,26,40.039490000000001,-75.033429999999996,0,0
19,27,39.894509999999997,-75.229550000000003,0,1
20,29,39.968989999999998,-75.159980000000004,1,0
21,30,39.960619999999999,-75.228620000000006,1,0
22,31,39.917510000000000,-75.156139999999994,0,0
23,32,39.941540000000003,-75.163759999999996,0,0
24,33,39.956049999999998,-75.146039999999999,0,0
25,34,39.939180000000000,-75.149730000000005,0,0
26,35,39.965660000000000,-75.132270000000005,0,0
27,36,39.903449999999999,-75.243160000000003,1,0
28,37,39.967030000000001,-75.160399999999996,1,0
29,39,39.953159999999997,-75.194789999999998,0,0
30,40,40.033000000000001,-75.080190000000002,0,0
31,41,39.950940000000003,-75.152000000000001,1,0
32,43,39.985790000000001,-75.111559999999997,0,0
33,44,39.942010000000003,-75.152339999999995,0,0
34,45,39.955640000000002,-75.202269999999999,1,0
35,46,39.937849999999997,-75.174970000000002,0,1
36,47,39.958089999999999,-75.209410000000005,1,0
37,48,39.932209999999998,-75.191509999999994,1,0
38,49,39.913969999999999,-75.221509999999995,0,1
39,50,39.989800000000002,-75.250820000000004,0,0
40,52,39.982120000000002,-75.148430000000005,0,1
41,54,39.970390000000002,-75.146540000000002,0,0
42,56,39.945270000000001,-75.178579999999997,0,0
43,57,39.946489999999997,-75.237269999999995,1,0
44,58,39.941090000000003,-75.182879999999997,0,1
45,60,39.942599999999999,-75.157049999999998,0,0
46,62,39.923279999999998,-75.181719999999999,0,0
47,64,39.957749999999997,-75.219260000000006,0,0
48,65,39.967089999999999,-75.162130000000005,1,0
49,66,39.931410000000000,-75.156289999999998,0,0
50,67,39.990989999999996,-75.101600000000005,1,0
51,69,39.958080000000002,-75.165679999999995,1,0
52,73,39.943610000000000,-75.156829999999999,0,0
53,74,40.028829999999999,-75.106139999999996,0,0
54,75,39.890380000000000,-75.245000000000005,0,1
55,77,39.961069999999999,-75.234909999999999,1,0
56,78,39.902230000000003,-75.247219999999999,0,0
57,79,39.935679999999998,-75.167230000000004,0,0
58,80,39.959009999999999,-75.172010000000000,0,0
59,82,39.940890000000003,-75.181240000000003,0,1
60,84,39.924370000000003,-75.169680000000000,1,0
61,85,39.943640000000002,-75.180650000000000,0,0
62,86,39.943420000000003,-75.155270000000002,0,0
63,87,39.939920000000001,-75.149569999999997,0,0
64,89,39.937860000000001,-75.166749999999993,1,1
65,90,39.949230000000000,-75.150750000000002,1,0
66,92,39.909260000000003,-75.173140000000004,1,0
67,93,39.975279999999998,-75.206659999999999,0,0
68,95,39.956969999999998,-75.169210000000007,1,0
69,96,39.952579999999998,-75.148480000000006,1,0
70,102,39.947949999999999,-75.223320000000001,0,0
71,103,39.963790000000003,-75.219930000000005,0,0
72,105,39.989970000000000,-75.219350000000006,0,0
73,106,39.993929999999999,-75.141829999999999,0,0
74,108,39.951509999999999,-75.175590000000000,1,0
75,111,39.929259999999999,-75.168620000000004,0,0
76,112,39.913010000000000,-75.172300000000007,0,0
77,113,39.950530000000001,-75.173829999999995,1,0
78,114,39.899130000000000,-75.174830000000000,0,1
79,115,39.937410000000000,-75.163060000000002,1,1
80,116,39.944510000000001,-75.156639999999996,0,0
81,117,39.928500000000000,-75.182209999999998,0,0
82,118,39.962130000000002,-75.240729999999999,0,0
83,120,39.977690000000003,-75.161439999999999,0,0
84,121,39.889679999999998,-75.233710000000002,0,0
85,122,39.964959999999998,-75.224599999999995,0,0
86,124,39.953170000000000,-75.170010000000005,1,0
87,125,39.952759999999998,-75.158079999999998,1,0
88,126,39.971890000000002,-75.162700000000001,0,0
89,128,39.940860000000001,-75.212599999999995,0,0
90,129,39.952640000000002,-75.178150000000002,1,0
91,130,39.948779999999999,-75.174199999999999,0,0
92,133,39.933439999999997,-75.152630000000002,1,0
93,134,39.913080000000001,-75.182090000000002,1,1
94,136,39.947310000000002,-75.194909999999993,1,0
95,138,39.960220000000000,-75.173680000000004,0,0
96,139,39.944130000000001,-75.142080000000007,1,0
97,142,39.947110000000002,-75.146349999999998,1,0
98,143,39.956449999999997,-75.164469999999994,1,0
99,144,39.931620000000002,-75.157849999999996,0,0
100,145,39.928040000000003,-75.168890000000005,0,0
101,147,39.950400000000002,-75.160240000000002,1,0
102,148,39.933450000000001,-75.162279999999996,1,0
103,150,39.891939999999998,-75.241870000000006,0,0
104,151,39.934139999999999,-75.167559999999995,0,0
105,152,39.949430000000000,-75.158810000000003,1,0
106,153,39.959719999999997,-75.235190000000003,1,0
107,154,39.950550000000000,-75.148920000000004,1,0
108,155,39.934559999999998,-75.170820000000006,0,0
109,158,39.927610000000001,-75.187659999999994,0,1
110,160,39.972790000000003,-75.119669999999999,0,1
111,162,39.978900000000003,-75.159559999999999,1,0
112,163,39.958939999999998,-75.241399999999999,0,0
113,165,39.940809999999999,-75.166120000000006,0,0
114,166,39.967120000000001,-75.163740000000004,0,0
115,167,39.963200000000001,-75.146690000000007,0,0
116,169,39.962850000000003,-75.164670000000001,1,0
117,170,39.961649999999999,-75.154529999999994,0,0
118,171,39.947789999999998,-75.227649999999997,0,1
119,173,39.953569999999999,-75.173199999999994,1,0
120,174,39.943179999999998,-75.168940000000006,0,0
121,175,39.954830000000001,-75.166290000000004,1,0
122,176,39.974769999999999,-75.198329999999999,0,1
123,177,39.969580000000001,-75.173860000000005,0,0
124,178,39.995170000000002,-75.112210000000005,0,0
125,179,39.957709999999999,-75.162440000000004,1,0
126,180,39.988520000000001,-75.106340000000003,0,0
127,181,39.997509999999998,-75.121260000000007,0,1
128,182,39.929810000000003,-75.163280000000000,0,0
129,184,39.955599999999997,-75.142520000000005,0,0
130,185,39.916950000000000,-75.172330000000002,0,0
131,186,39.939109999999999,-75.194919999999996,0,1
132,187,39.942210000000003,-75.169150000000002,0,0
133,188,39.916089999999997,-75.225870000000000,0,1
134,189,39.941620000000000,-75.149190000000004,0,0
135,191,39.933239999999998,-75.189679999999996,0,0
136,192,39.955599999999997,-75.189490000000006,1,0
137,196,39.925849999999997,-75.181169999999995,0,0
138,197,40.024200000000000,-75.132999999999996,0,0
139,199,39.951270000000001,-75.173670000000001,1,0
140,200,40.023420000000002,-75.133359999999996,0,0
141,202,39.940420000000003,-75.187470000000005,0,1
142,205,39.942990000000002,-75.167379999999994,1,0
143,206,39.903790000000001,-75.173890000000000,0,0
144,207,39.975420000000000,-75.189530000000005,0,0
145,210,39.960639999999998,-75.141440000000003,0,0
146,211,39.948680000000003,-75.158969999999997,1,0
147,212,39.962290000000003,-75.197199999999995,0,0
148,214,39.902979999999999,-75.174469999999999,0,0
149,216,39.964219999999997,-75.190160000000006,0,1
150,217,39.936750000000004,-75.173599999999993,0,0
151,219,39.948169999999998,-75.142470000000003,0,0
152,220,39.929160000000003,-75.187320000000000,0,1
153,221,39.989069999999998,-75.089600000000004,1,0
154,226,39.978850000000001,-75.272279999999995,1,0
155,227,39.946550000000002,-75.180530000000005,0,0
156,229,39.918230000000001,-75.209000000000003,0,1
157,232,39.927379999999999,-75.144890000000004,0,1
158,234,39.960259999999998,-75.196879999999993,1,0
159,235,39.949339999999999,-75.164259999999999,1,0
160,236,40.024560000000001,-75.147859999999994,0,0
161,237,39.941659999999999,-75.179360000000003,0,0
162,238,39.955329999999996,-75.162890000000004,1,0
163,239,39.951140000000002,-75.178470000000004,1,0
164,240,40.026159999999997,-75.037139999999994,0,1
165,241,39.955350000000003,-75.163020000000003,1,0
166,243,39.935470000000002,-75.187579999999997,1,1
167,244,39.934310000000004,-75.150810000000007,0,0
168,245,39.999049999999997,-75.133240000000001,0,1
169,246,39.970959999999998,-75.123390000000001,0,1
170,249,40.029429999999998,-75.104169999999996,0,0
171,251,39.993969999999997,-75.130250000000004,0,0
172,252,39.935540000000003,-75.155379999999994,1,0
173,253,39.952570000000001,-75.190039999999996,0,0
174,254,39.953360000000004,-75.154719999999998,1,0
175,256,39.958710000000004,-75.155109999999993,0,0
176,259,39.947940000000003,-75.162360000000007,1,0
177,260,39.961350000000003,-75.148200000000003,0,0
178,261,39.963979999999999,-75.154020000000003,0,0
179,262,39.946970000000000,-75.154499999999999,1,0
